short_name,first_name,year_turned_pro,weight_in_kg,bib_number,racing_age,rider_url,picture_url
"Abreu Rafael, I.",Infantino ,,,151,28,http://www.equipociclismoepmune.com/equipo/item/1-une-epm/5-rafael-infantino.html,http://www.equipociclismoepmune.com/images/djcatalog/1076%20rafael%20infantinoprev_m.jpg
"Agnoli, V.",Valerio,2004,61,42,27,http://www.teamliquigascannondale.com/2012/eng/main.php?mod=scAtleti&id=0,http://www.teamliquigascannondale.com/2012/immagini/scAgnoli.jpg
"Anthony, J.",Jesse,2006,67,121,27,http://www.optumprocycling.com/teams/jesse-anthony/,http://www.optumprocycling.com/wp-content/files_mf/1328292463mridersjanthony.jpg
"Arguelyes Rodriges, A.",Arkimedes,2010,66,66,24,http://www.rusveloteam.com/team/35.html,http://www.rusveloteam.com/images/team/Rodriges.jpg
"Aru, F.",Fabio,,,56,22,,
"Atkins, J.",Joshua,2010,,131,20,http://www.bontragercyclingteam.com/team/riders/josh-atkins.aspx,http://www.bontragercyclingteam.com/media/4671/BL_250x305_Josh_Atkins_3.png
"Avis, C.",Charlie,2010,,132,21,http://www.bontragercyclingteam.com/team/riders/charlie-avis.aspx,http://www.bontragercyclingteam.com/media/4631/BL_250x305_Charlie_Avis_3%20copy.png
"Bach Vandborg, B.",Brian,2004,75,98,31,http://cyclesportmanagement.com/team/brian-bach-vandborg/,
"Bajadali, A.",Andrew,2002,67,122,39,http://www.optumprocycling.com/teams/andy-bajadali/,http://www.optumprocycling.com/wp-content/files_mf/1328292499mridersabajadali.jpg
"Baldwin, C.",Christopher,1999,68,111,37,http://www.bissellprocycling.com/chris-baldwin,http://www.bissellprocycling.com/assets/501217/baldwin_final.jpg
"Basso, I.",Ivan,1999,70,47,35,http://www.teamliquigascannondale.com/2012/eng/main.php?mod=scAtleti&id=1,http://www.teamliquigascannondale.com/2012/immagini/scBasso.jpg
"Bazzana, A.",Alessandro,,,87,28,http://www.teamtype1.org/athletes/alessandro-bazzana/,http://www.teamtype1.org/wp-content/uploads/2012/04/Alessandro_Bazzana-200x139.jpg
"Begin, P.",Patrick,2010,75,116,21,http://www.bissellprocycling.com/patrick-bevin,http://www.bissellprocycling.com/assets/501217/bevin_banner.jpg
"Bell, Z.",Zachary,2005,73,97,30,http://cyclesportmanagement.com/team/zach-bell/,http://cyclesportmanagement.com/blog/wp-content/uploads/bell_jersey.jpg
"Beltran Suarez, E.",Eduard,,,157,22,http://www.equipociclismoepmune.com/equipo/item/1-une-epm/12-edwar-beltran.html,http://www.equipociclismoepmune.com/images/djcatalog/1187%20edwar%20beltranprev_m.jpg
"Bennett, G.",George,,58,33,22,http://www.radioshacknissantrek.com/team/riders/george-bennett,http://www.radioshacknissantrek.com/sites/default/files/rider-image/george_bennett.jpg
"Bertogliati, R.",Rubens,,,86,33,http://www.teamtype1.org/athletes/rubens-bertogliati/,http://www.teamtype1.org/wp-content/uploads/2012/04/Rubens_Bertogliati-200x139.jpg
"Boily, D.",David,2010,60,91,22,http://cyclesportmanagement.com/team/david-boily/,http://cyclesportmanagement.com/blog/wp-content/uploads/boily_jersey.jpg
"Brajkovic, J.",Janez,2005,60,51,29,http://proteam-astana.com/en/team/roster#jani-brajkovic,http://proteam-astana.com/images/team/BRAJKOVIC-JANI.jpg
"Brammeier, M.",Matthew,2010,74,4,27,http://www.omegapharma-quickstep.com/en/team/rider/matthew-brammeier,http://www.omegapharma-quickstep.com/images/riders/rider_37/640X430/d2781ab1b3249a8a9f062a20fede3430.jpg
"Busche, M.",Matthew,2011,68,36,27,http://www.radioshacknissantrek.com/team/riders/matthew-busche,http://www.radioshacknissantrek.com/sites/default/files/rider-image/matthew_busche.jpg
"Butler, C.",Chris,2009,61,102,24,http://teamchampionsystem.com/team_detail.php?id=28,http://teamchampionsystem.com/getimage.php?size=400x&location=/file/athletes28.jpg&to_be_crop=1
"Candelario, A.",Alex,2001,77,123,37,http://www.optumprocycling.com/teams/alex-candelario/,http://www.optumprocycling.com/wp-content/files_mf/1328292264mridersacandelario.jpg
"Carlsen, K.",Kirk,,,146,25,,
"Caruso, D.",Damiano,2009,65,43,25,http://www.teamliquigascannondale.com/2012/eng/main.php?mod=scAtleti&id=6,http://www.teamliquigascannondale.com/2012/immagini/scCaruso.jpg
"Castiblanco Cubides, J.",Jorge,,,152,24,,
"Chicchi, F.",Francesco,2003,76,6,32,http://www.omegapharma-quickstep.com/en/team/rider/francesco-chicchi,http://www.omegapharma-quickstep.com/images/riders/rider_14/640X430/5bf727af9b74f1e2dd19be0fcf5e9365.jpg
"Clarke, W.",William,2010,80,106,27,http://teamchampionsystem.com/team_detail.php?id=30,http://teamchampionsystem.com/getimage.php?size=400x&location=/file/athletes30.jpg&to_be_crop=1
"Colorado Hernandez, F.",Francisco,,,153,32,http://www.equipociclismoepmune.com/equipo/item/1-une-epm/1-francisco-colorado.html,http://www.equipociclismoepmune.com/images/djcatalog/1133%20francisco%20coloradoprev_m.jpg
"Cooke, M.",Matt,,,143,33,http://teamexergy.com/project/matt-cooke/,http://teamexergy.com/wp-content/Prestige_temp/projects/Bio_Rem_920i_post_1297449985.jpg
"Cooper, M.",Marsh,2010,63.5,127,27,http://www.optumprocycling.com/teams/marsh-cooper/,http://www.optumprocycling.com/wp-content/files_mf/1331673014mridersmcooper.jpg
"Craddock, L.",Lawson,2010,,133,20,http://www.bontragercyclingteam.com/team/riders/lawson-craddock.aspx,http://www.bontragercyclingteam.com/media/4676/BL_250x305_Lawson_Craddock_1.png
"Creed, M.",Mike,1999,70,124,31,http://www.optumprocycling.com/teams/mike-creed/,http://www.optumprocycling.com/wp-content/files_mf/1328292224mridersmcreed.jpg
"Danielson, T.",Tom,1999,58.5,11,34,http://www.slipstreamsports.com/garmin-slipstream-pro-team/tom-danielson,http://www.slipstreamsports.com/wp-content/uploads/2012/06/pro_racers_tda.jpg
"Day, B.",Benjamin,,70,76,34,http://uhcprocycling.com/ben-day/,http://www.uhcprocycling.com/static/portraits2012/BenDay.jpg
"De Luna, Flavio",Flavio,,,92,22,,
"Diaz, A.",Andres Miguel,,,142,28,http://teamexergy.com/project/andres-diaz/,http://teamexergy.com/wp-content/Prestige_temp/projects/andreas_post_1298065241.jpg
"Dombrowski, J.",Joe,2010,,134,21,http://www.bontragercyclingteam.com/team/riders/joe-dombrowski.aspx,http://www.bontragercyclingteam.com/media/4666/BL_250x305_Joe_Dombrowski_3.png
"Duggan, D.",Timothy,2005,60,46,30,http://www.teamliquigascannondale.com/2012/eng/main.php?mod=scAtleti&id=9,http://www.teamliquigascannondale.com/2012/immagini/scDuggan.jpg
"Eastman, R.",Ryan,2010,,135,20,http://www.bontragercyclingteam.com/team/riders/ryan-eastman.aspx,http://www.bontragercyclingteam.com/media/4686/BL_250x305_Ryan_Eastman_3.png
"Efimkin, A.",Alexander,,,82,31,http://www.teamtype1.org/athletes/aleksandr-efimkin/,http://www.teamtype1.org/wp-content/uploads/2012/04/Aleksandr_Efimkinjpg-200x139.jpg
"El Fares, J.",Julien,,,83,27,http://www.teamtype1.org/athletes/julien-el-fares/,http://www.teamtype1.org/wp-content/uploads/2012/04/Julien_El_Fares-200x139.jpg
"Euser, L.",Lucas,,,93,29,,
"Evans, C.",Cadel,2001,68,21,35,http://www.bmcracingteam.com/team/rider-bios/cadel-evans/,http://www.bmcracingteam.com/typo3temp/pics/cfe5bc42d9.jpg
"Fairly, C.",Caleb,2011,60,94,25,http://cyclesportmanagement.com/team/caleb-fairly/,http://cyclesportmanagement.com/blog/wp-content/uploads/fairly_jersey.jpg
"Farrar, T.",Tyler,2003,74,12,28,http://www.slipstreamsports.com/garmin-slipstream-pro-team/tyler-farrar,http://www.slipstreamsports.com/wp-content/uploads/2012/06/pro_racers_tf.jpg
"Firsanov, S.",Sergey,2005,74,65,30,http://www.rusveloteam.com/team/23.html,
"Forster , R.",Robert,2000,83,74,34,http://uhcprocycling.com/robert-foerster/,http://www.uhcprocycling.com/static/portraits2012/RobertForster.jpg
"Frank, M.",Mathias,2008,64,22,26,http://www.bmcracingteam.com/team/rider-bios/mathias-frank/,http://www.bmcracingteam.com/typo3temp/pics/e4e3846f7e.jpg
"Friedemann, M.",Matthias,2005,74,103,28,http://teamchampionsystem.com/team_detail.php?id=12,http://teamchampionsystem.com/getimage.php?size=400x&location=/file/athletes12.jpg&to_be_crop=1
