short_name,height_in_feet_and_inches
"Leipheimer, L.","5'7"""
"Velits, M.","6'1"""
"Velits, P.","5'11"""
"Brammeier, M.","5'11"""
"Chicchi, F.","5'10"""
"Danielson, T.","5'10"""
"Farrar, T.","6'0"""
"Haas, N.","5'10"""
"Howes, A.","5'11"""
"Stetina, P.","5'11"""
"VandeVelde, C.","5'11"""
"Zabriskie, D.","6'0"""
"Evans, C.","5'9"""
"Frank, M.","5'9"""
"Santaromita, I.","5'9"""
"Schar, M.","6'6"""
"Tschopp, J.","5'9"""
"Phinney, T.","6'6"""
"Hincapie, G.","6'3"""
"Garderen, T.","6'1"""
"Horner, C.","5'10"""
"Bennett, G.","5'11"""
"King, B.","6'0"""
"Kloden, A.","6'0"""
"Busche, M.","5'9"""
"Voigt, J.","6'3"""
"Zaugg, O.","5'6"""
"Nibali, V.","5'11"""
"Agnoli, V.","5'7"""
"Caruso, D.","5'10"""
"Duggan, D.","5'8"""
"Basso, I.","6'0"""
"Moser, M.","5'10"""
"Brajkovic, J.","5'10"""
"Kreuziger, R.","6'0"""
"Kangert, T.","5'10"""
"Nepomnyachshiy, Y.","5'8"""
"Petrov, E.","5'10"""
"Zubov, M.","6'0"""
"Kozonchuk, D.","6'2"""
"Ovechkin, A.","5'8"""
"Firsanov, S.","6'2"""
"Arguelyes Rodriges, A.","5'9"""
"Mironov, A.","5'9"""
"Klimov, S.","6'0"""
"Sutherland , R.","6'2"""
"Menzies, K.","6'0"""
"Forster , R.","5'9"""
"Keough, J.","5'8"""
"Day, B.","5'10"""
"Jones, C.","5'10"""
"Louder, J.","6'0"""
"Boily, D.","5'11"""
"Fairly, C.","5'7"""
"Houle, H.","6'1"""
"Roth, R.","5'9"""
"Bell, Z.","5'9"""
"Bach Vandborg, B.","6'2"""
"Lewis, C.","5'10"""
"Butler, C.","5'11"""
"Friedemann, M.","6'0"""
"Pengda, J.","5'7"""
"Liu, B.","5'9"""
"Clarke, W.","6'4"""
"Wurf, C.","6'0"""
"Xu, G.","6'2"""
"Baldwin, C.","6'1"""
"Vennell, J.","6'2"""
"Jacques-Maynes, B.","6'1"""
"Jones, C.","6'0"""
"Pipp, F.","5'9"""
"Begin, P.","5'11"""
"Anthony, J.","5'10"""
"Bajadali, A.","6'0"""
"Candelario, A.","6'0"""
"Creed, M.","5'10"""
"Zirbel, T.","6'4"""
"Salas, S.","5'8"""
"Cooper, M.","5'8"""
"Friedman, M.","5'9"""
