symbol,name,bib_numbers,country,url
AST,Astana,50,KAZ,http://proteam-astana.com/
BPC,Bissell Pro Cycling Team,110,USA,http://www.bissellprocycling.com/
BMC,BMC Racing Team (USA),20,USA,http://www.bmcracingteam.com/
TLS,Bontrager-Livestrong,130,USA,http://www.bontragercyclingteam.com/team/riders/charlie-avis.aspx
CSS,Champion System Pro Cycling Teams,100,CHN,http://teamchampionsystem.com/
EPM,EPM - UNE,150,COL,http://www.equipociclismoepmune.com/
GRS,Garmin-Sharp-Barracuda,10,USA,http://www.slipstreamsports.com/garmin-slipstream-pro-team
LIQ,Liquigas-Cannondale (Italy),40,ITA,http://www.teamliquigascannondale.com/
OPQ,Omega Pharma-Quick-Step,0,BEL,http://www.omegapharma-quickstep.com/
OPT,Optum Pro Cycling p/b Kelly Benefit Strategies,120,USA,http://www.optumprocycling.com/
RNT,RadioShack Nissan Trek,30,LUX,http://www.radioshacknissantrek.com/
RVL,RusVelo,60,RUS,http://www.rusveloteam.com/
XRG,Team Exergy,140,USA,http://teamexergy.com/
SPI,Team SpiderTech presented by C10 (Canada),90,CAN,http://cyclesportmanagement.com/
TT1,Team Type 1-Sanofi,80,USA,http://www.teamtype1.org/
UHC,UnitedHealthcare Pro Cycling Team (USA),70,USA,http://uhcprocycling.com/
