bib_number,time
16,25:57:34
28,25:57:55
1,25:57:58
35,25:58:42
51,25:58:48
32,25:58:58
11,25:59:02
36,25:59:06
15,25:59:13
134,25:59:14
62,25:59:17
43,25:59:23
31,25:59:28
22,25:59:36
154,26:00:01
93,26:00:05
138,26:00:31
124,26:01:00
158,26:01:07
102,26:01:09
46,26:01:26
81,26:02:06
111,26:02:12
63,26:02:43
33,26:03:14
76,26:03:21
41,26:03:32
153,26:05:04
107,26:05:36
37,26:06:28
155,26:06:37
157,26:07:24
52,26:11:45
101,26:12:17
38,26:12:18
71,26:12:50
151,26:14:24
14,26:14:56
25,26:18:14
27,26:18:28
45,26:19:07
77,26:20:18
114,26:20:18
128,26:21:10
24,26:22:35
53,26:23:11
3,26:25:21
117,26:25:21
147,26:26:21
152,26:26:49
104,26:27:17
87,26:27:39
67,26:27:50
123,26:29:26
65,26:31:22
142,26:32:59
34,26:33:32
48,26:33:58
125,26:36:31
94,26:39:21
64,26:40:10
84,26:41:14
2,26:42:57
23,26:42:59
56,26:43:10
55,26:44:11
85,26:46:08
12,26:49:10
26,26:49:27
5,26:50:04
42,26:53:32
66,26:55:45
86,26:55:53
13,26:57:00
83,26:59:39
47,27:00:23
88,27:01:03
17,27:01:24
54,27:01:39
98,27:02:51
112,27:02:58
95,27:03:05
143,27:04:52
135,27:04:58
96,27:05:35
74,27:06:18
113,27:10:26
145,27:11:00
137,27:11:02
73,27:11:15
115,27:13:05
18,27:18:49
4,27:23:05
68,27:26:00
